Key,English,NOTES,German,Russian
GAMEPLAY_BandageDescription,Bandage adapté pour arrêter la perte de sang ou le maintien resserré sur une blessure.,,,
GAMEPLAY_Bandages,Bandages,,,
GAMEPLAY_BandageTooltip,,,
GAMEPLAY_Basement,Sous-sol,,,
GAMEPLAY_BasicBoots,Bottes Ordinaires,,,
GAMEPLAY_BasicBootsDescription,"Bottes de marche. Cuir supérieur, semelle en caoutchouc.",,,
GAMEPLAY_BasicBootsTooltip,Vêtements,,,
GAMEPLAY_BasicGloves,Gants Ordinaires,,,
GAMEPLAY_BasicGlovesDescription,"Gants de ski en matériaux synthétiques.",,,
GAMEPLAY_BasicGlovesTooltip,Vêtements,,,
GAMEPLAY_BasicWinterCoat,Manteau d'hiver Basique,,,
GAMEPLAY_BasicWinterCoatDescription,Basic winter coat with some wind-blocking capability and basic synthetic filler. Good for an afternoon at the ski hill.,,,
GAMEPLAY_BasicWinterCoatTooltip,Vêtements,,,
GAMEPLAY_BasicWoolHat,Bonnet en Laine Ordinaire,,,
GAMEPLAY_BasicWoolHatDescription,Un simple bonnet de laine tricoté.,,,
GAMEPLAY_BasicWoolHatTooltip,Vêtements,,,
GAMEPLAY_BasicWoolScarf,Écharpe en Laine Basique,,,
GAMEPLAY_BasicWoolScarfDescription,Une simple écharpe tricotée.,,,
GAMEPLAY_BasicWoolScarfTooltip,Vêtements,,,
GAMEPLAY_Basin,Cuvette,,,
GAMEPLAY_BearCreekCampground,Camping du Ruisseau au Ours,,,
GAMEPLAY_Bed,Lit,,,
GAMEPLAY_Bedroll,Sac de couchage,,,
GAMEPLAY_BedrollDescription,Un sac de couchage en duvet.,,,
GAMEPLAY_BedrollTooltip,Permet de dormir sans lit,,,
GAMEPLAY_BeefJerky,Viande de boeuf séchée,,,
GAMEPLAY_BeefJerkyDescription,Sachet de viande de boeuf séchée. Savoureuse et se conserve quasi-éternellement.,,,
GAMEPLAY_BeefJerkyTooltip,,,
GAMEPLAY_Blizzard,Blizzard,,,
GAMEPLAY_BloodLoss,Hémorragie,,,
GAMEPLAY_BloodLossDescription,"Une blessure saigne. Sans traitement, vous allez continuer à vous affaiblir jusqu'à la mort.",,,
GAMEPLAY_BoilingProgress,Ébullition en cours...,,,
GAMEPLAY_BoltCutters,Coupe Boulons,,,
GAMEPLAY_BoltCuttersDescription,Manquante,,,
GAMEPLAY_BoltCuttersTooltip,Manquante,,,
GAMEPLAY_BreakIce,Briser la Glace,,,
GAMEPLAY_BreakIceProgress,En Cours...,,,
GAMEPLAY_BrokenBeyondRepair,{item-name} a été cassé sans réparation possible.,,,
GAMEPLAY_BuildAttackStrength,Concentrer Attaque,,,
GAMEPLAY_BurnedOutPostfix,(Épuisé),,,
GAMEPLAY_BurnPerHour,Brûlure/Heure,,,
GAMEPLAY_Burns,Brûlures,,,
GAMEPLAY_BurnsDescription,"Vous avez subi de graves brûlures. Votre état général sera réduit jusqu'à ce que vous traitiez les brûlures, ou que vous guérissiez naturellement.",,,
GAMEPLAY_BurnsHealed,Brûlures guéries,,,
GAMEPLAY_ButtonAddToFire,Ajouter au Feu,,,
GAMEPLAY_ButtonBack,Retour,,,
GAMEPLAY_ButtonBeginCrafting,Fabriquer,,,
GAMEPLAY_ButtonBoil,Bouillir,,,
GAMEPLAY_ButtonCook,Cuisiner,,,
GAMEPLAY_ButtonForageWood,"Recherche Bois",,,
GAMEPLAY_ButtonMelt,Fondre,,,
GAMEPLAY_ButtonSnowShelter,"IGLOO",,,
GAMEPLAY_Cabinet,Placard,,,
GAMEPLAY_CabinetDoor,Armoire,,,
GAMEPLAY_Calories,Calories,,,
GAMEPLAY_CaloriesPerHour,Calories / Heure,,,
GAMEPLAY_Campfire,Feu de camp,,,
GAMEPLAY_CampOffice,Bureau de la réserve,,,
GAMEPLAY_Can,Cannette,,,
GAMEPLAY_Cancel,Annuler,,,
GAMEPLAY_Cancelled,Annulé,,,
GAMEPLAY_CandyBar,Friandise,,,
GAMEPLAY_CandyBarDescription,Chocolat et noisettes !,,,
GAMEPLAY_CandyBarTooltip,,,
GAMEPLAY_CannotAddMoreFuel,Impossible d'ajouter plus de carburant dans ce feu pour le moment,,,
GAMEPLAY_Cannotcraftitemwithselectedtool,Vous ne pouvez pas fabriquer un objet avec l'outil sélectionné,,,
GAMEPLAY_Cannotrepairatoolwithitself,Vous ne pouvez pas réparer un outil avec lui-même,,,
GAMEPLAY_Cannotrepairitemwithselectedtool,Vous ne pouvez pas réparer un objet avec l'outil sélectionné,,,
GAMEPLAY_Cannotstartafireonawoodsurface,Impossible sur une surface en bois,,,
GAMEPLAY_Cannotstartafireonstraw,Impossible sur de la paille,,,
GAMEPLAY_Cannotstartcampfireindoors,Impossible en intérieur,,,
GAMEPLAY_CanOpener,Ouvre-boîte,,,
GAMEPLAY_CanOpenerDescription,Une autre manière d'ouvrir des boîtes.,,,
GAMEPLAY_CanOpenerTooltip,Ouvre les boîtes,,,
GAMEPLAY_Cans,Boîtes,,,
GAMEPLAY_CanSmashedOpenPercentLost,"La boîte est éventré, {%-value}% de contenu perdu",,,
GAMEPLAY_Capacity,Capacité,,,
GAMEPLAY_CarcassTooFrozen,Carcasse congelée à plus de 50% (impossible à mains nues),,,
GAMEPLAY_CardboardMatches,Allumettes en carton,,,
GAMEPLAY_CardboardMatchesDescription,Allumette en carton.,,,
GAMEPLAY_CardboardMatchesTooltip,Allume-feu consommable,,,
GAMEPLAY_CargoPants,Treillis,,,
GAMEPLAY_CargoPantsDescription,Solide pantalons en coton. Plus robuste que des jeans.,,,
GAMEPLAY_CargoPantsTooltip,Vêtements,,,
GAMEPLAY_CarterHydroDam,Barrage hydroélectrique Carter,,,
GAMEPLAY_CedarFirewood,Bois de Cèdre,,,
GAMEPLAY_CedarFirewoodDescription,"Le cèdre brûle dans une lueur aromatique, mais ne brûle pas longtemps.",,,
GAMEPLAY_CedarFirewoodTooltip,carburant & matière première,,,
GAMEPLAY_ChanceOfSuccess,Chance de réussite,,,
GAMEPLAY_ChanceSuccess,Chance de réussite,,,
GAMEPLAY_Chest,Coffre,,,
GAMEPLAY_ChooseYour,Choisissez votre,,,
GAMEPLAY_Clear,Clear,,,
GAMEPLAY_Clearcut,Coupe à blanc,,,
GAMEPLAY_ClockType,Type d'horloge,,,
GAMEPLAY_ClosedCaptioning,Sous-titrage codé,,,
GAMEPLAY_Cloth,Tissu,,,
GAMEPLAY_ClothDescription,"Le tissu est utile pour l'artisanat et la réparation, ainsi que pour créer des bandages.",,,
GAMEPLAY_ClothesGotWet,Vos vêtement sont mouillé,,Deine Kleidung ist jetzt nass.,Ваша одежда промокла
GAMEPLAY_ClothingWarmthBonus,Bonus Chaleur,,,
GAMEPLAY_ClothingWindchillBonus,Bonus Résistance Vent,,,
GAMEPLAY_ClothTooltip,Matière première,,,
GAMEPLAY_Cloudy,Nuageux,,,
GAMEPLAY_CoastalTownsite,Quartier Littoral,,,
GAMEPLAY_CoffeeCup,Tasse de café,,Tasse Kaffee,Чашка кофе
GAMEPLAY_CoffeeCupDescription,Une tasse de café.,,Eine Tasse Kaffee.,Чашка кофе.
GAMEPLAY_CoffeeCups,Tasses de café,,Tassen Kaffee,Чашки кофе
GAMEPLAY_CoffeeTin,Boîte de café,,Dose Kaffee,Банка кофе
GAMEPLAY_CoffeeTinDescription,"Une boîte de café. Qui sait depuis combien de temps elle est ici ? Une boisson qui peut repousser la fatigue et réchauffer votre corps lors d'une nuit froide.",,"Eine Dose Kaffeepulver. Wer weiß, wie lange die hier schon steht? Vertreibt leichte Müdigkeit und wärmt dich in kalten Nächten.","Банка молотого кофе. Кто знает, сколько она тут лежит? Но этот напиток поможет взбодриться и согреет вас холодной ночью."
GAMEPLAY_Cold,Froid,,,
GAMEPLAY_Colder,T° en baisse,,,
GAMEPLAY_ColdPostfix,(Froid),,(kalt),(Холодный)
GAMEPLAY_CommutersLament,Lamentation de banlieusard,,,
GAMEPLAY_CompressionBandage,Pansement compressif,,,
GAMEPLAY_CompressionBandageDescription,"Un bandage de compression, utilisé pour restreindre les mouvements d'une blessure.",,,
GAMEPLAY_CompressionBandageTooltip,Soigne les entorses,,,
GAMEPLAY_CondensedMilk,Lait concentré,,,
GAMEPLAY_CondensedMilkDescription,"Sucré, c'est du lait épais dans une boîte. Se conserve des années.",,,
GAMEPLAY_CondensedMilkTooltip,,,
GAMEPLAY_Conditiontoolowtoharvest,Condition insuffisante pour récolter,,,
GAMEPLAY_Confirm,Confirmer,,,
GAMEPLAY_ConsoleLOCKED,Console BLOQUÉE,,,
GAMEPLAY_ConsoleUNLOCKED,Console BLOQUÉE,,,
GAMEPLAY_ConsoleUseDetected,Utilisation Console Détecté,,,
GAMEPLAY_Container,Conteneur,,,
GAMEPLAY_ContainerCannotBeOpened,{item-name} est abîmé et ne peut être ouvert,,,
GAMEPLAY_ContainerCannotHoldWeight,Le récipient ne peut contenir autant de poids,,,
GAMEPLAY_ContainerHeader,Conteneur:,,,
GAMEPLAY_ContractedDysenteryHUD,Dysenterie contractée,,,
GAMEPLAY_ContractedDysenteryLog,Dysenterie contractée.,,
GAMEPLAY_ContractedFoodPoisoningHUD,Intoxication alimentaire contractée,,,
GAMEPLAY_ContractedFoodPoisoningLog,Intoxication alimentaire contractée.,,,
GAMEPLAY_Controls,Contrôles,,,
GAMEPLAY_CookedCohoSalmon,Saumon Coho (Cuit),,,
GAMEPLAY_CookedCohoSalmonDescription,"Du saumon cuit sur un feu. Une des meilleures choses de la vie.",,,
GAMEPLAY_CookedLakeWhiteFish,Corégone Blanc (Cuit),,,
GAMEPLAY_CookedLakeWhiteFishDescription,"Corégone cuit. Un peu fade, mais mieux que rien.",,,
GAMEPLAY_CookedRainbowTrout,Truite Arc-en-Ciel (Cuite),,,
GAMEPLAY_CookedRainbowTroutDescription,Un peu roussi mais merveilleux en bouche.,,,
GAMEPLAY_CookedSmallMouthBass,Achigan à Petite Bouche (Cuit),,,
GAMEPLAY_CookedSmallMouthBassDescription,Une fête aussi bonne pour l'âme que pour l'estomac.,,,
GAMEPLAY_CookingProgress,Cuisson en cours...,,,
GAMEPLAY_Corpse,Corps,,,
GAMEPLAY_CottonLongUnderwear,Sous-vêtements longs en coton,,,
GAMEPLAY_CottonLongUnderwearDescription,Long-Johns en coton pour garder ses jambes au chaud.,,,
GAMEPLAY_CottonLongUnderwearTooltip,Vêtements,,,
GAMEPLAY_CottonSocks,Chaussettes en coton,,,
GAMEPLAY_CottonSocksDescription,"Chaussettes mince en coton. Pas très chaude et inutile lorsqu'elles sont mouillée, mais mieux que rien.",,,
GAMEPLAY_CottonSocksTooltip,Vêtements,,,
GAMEPLAY_CraftFor,Temps Fabrication:,,Fertigen für,Изготавливается:
GAMEPLAY_Crafting, Fabrication,,,
GAMEPLAY_CraftingProgress,Fabrication...,,,
GAMEPLAY_CraftingSkill,Compétence de Fabrication,,,
GAMEPLAY_CraftingSkillIncreased,Compétence de fabrication augmentée à {%-value},,,
GAMEPLAY_Crouch,Accroupi,,,
GAMEPLAY_Cupboard,Placard,,,
GAMEPLAY_CurrentCalories,Calories actuelles,,,
GAMEPLAY_CurrentTime,Heure actuelle,,,
GAMEPLAY_DavesQuietClearing,Clairière Paisible de Dave,,,
GAMEPLAY_Day,Jour,,,
GAMEPLAY_day,jour,,,
GAMEPLAY_DayNumberFraction,Jour {curr-value}/{total-value},,,
GAMEPLAY_days,jours,,,
GAMEPLAY_daysShortForm,d,,,
GAMEPLAY_DeadfallArea,Zone Sinistrée,,,
GAMEPLAY_DeathBloodLoss,Vous êtes mort d'exsanguination,,,
GAMEPLAY_DeathBloodLossSleeping,Vous êtes mort d'exsanguination durant votre sommeil,,,
GAMEPLAY_DeathBurning,Vous avez brulé vif,,,
GAMEPLAY_DeathDehydrate,Vous êtes mort de déshydratation,,,
GAMEPLAY_DeathDehydrateExhausted,Vous êtes morts de déshydratation et d'épuisement,,,
GAMEPLAY_DeathDehydrateExhaustedFreeze,"Vous êtes morts de déshydratation, d'épuisement et d'hypothermie",,,
GAMEPLAY_DeathDehydrateFreeze,Vous êtes mort de déshydratation et d'hypothermie,,,
GAMEPLAY_DeathDysentery,Vous êtes morts de la dysenterie,,,
GAMEPLAY_DeathDysenterySleeping,Vous êtes morts de la dysenterie pendant votre sommeil,,,
GAMEPLAY_DeathExhausted,Vous êtes morts d'épuisement,,,
GAMEPLAY_DeathExhaustedFreeze,Vous êtes morts d'épuisement et d'hypothermie,,,
GAMEPLAY_DeathFadedLongDark,Vous avez sombré dans le Long Dark...,,,
GAMEPLAY_DeathFalling,Vous êtes morts de graves blessures internes après une chute,,,
GAMEPLAY_DeathFoodPoisoning,Vous êtes morts d'une intoxication alimentaire,,,
GAMEPLAY_DeathFoodPoisoningSleeping,Vous êtes morts d'une intoxication alimentaire pendant votre sommeil,,,
GAMEPLAY_DeathFreeze,Vous êtes morts d'hypothermie,,,
GAMEPLAY_DeathIceCracking,Vous êtes mort noyé après être passé au travers de la glace fissurée,,,
GAMEPLAY_DeathInfection,Vous êtes morts d'une infection,,,
GAMEPLAY_DeathInfectionSleeping,Vous êtes morts d'une infection pendant votre sommeil,,,
GAMEPLAY_DeathStarve,Vous êtes morts de faim,,,
GAMEPLAY_DeathStarveDehydrate,Vous êtes morts de faim et de déshydratation,,,
GAMEPLAY_DeathStarveDehydrateExhausted,"Vous êtes morts de faim, de déshydratation et d'épuisement",,,
GAMEPLAY_DeathStarveDehydrateExhaustedFreeze,"Vous êtes morts de faim, de déshydratation, d'épuisement et d'hypothermie",,,
GAMEPLAY_DeathStarveDehydrateFreeze,"Vous êtes morts de faim, de déshydratation et d'hypothermie",,,
GAMEPLAY_DeathStarveExhausted,Vous êtes morts de faim et d'épuisement,,,
GAMEPLAY_DeathStarveExhaustedFreeze,"Vous êtes morts de faim, d'épuisement et d'hypothermie",,,
GAMEPLAY_DeathStarveFreeze,Vous êtes morts de faim et d'hypothermie,,,
GAMEPLAY_DeathWolfAttack,Vous êtes morts d'une perte de sang et du choc d'une attaque de loup,,,
GAMEPLAY_Debug,Debug,,,
GAMEPLAY_DebugScreenshot,Debug Screenshot,,,
GAMEPLAY_Decrease,Réduire,,,
GAMEPLAY_DeerCarcass,Carcasse de chevreuil,,,
GAMEPLAY_DeerHide,Peau de chevreuil,,Rehhaut,Оленья шкура
GAMEPLAY_DeerHideDescription,Peau provenant d'un chevreuil.,,Die Haut eines Rehs.,Шкура оленя.
GAMEPLAY_DeerSkinBoots,Bottes en chevreuil,,Rehlederstiefel,Обувь из оленьей кожи
GAMEPLAY_DeerSkinBootsDescription,"Bottes artisanales. Souple mais chaleureuse et solide.",,"Handgearbeitete Stiefel. Geschmeidig, aber warm und robust.","Обувь ручной работы. Грубая, но теплая и прочная."
GAMEPLAY_DegradedHUDMessage,{item-name} dégradée à {%-value}% ,,,
GAMEPLAY_DegreesCUnits,C,,,
GAMEPLAY_DegreesFUnits,F,,,
GAMEPLAY_Dehydrated,Déshydraté,,,
GAMEPLAY_Derailment,Déraillement,,,
GAMEPLAY_Disabled,Désactivé,,,
GAMEPLAY_Disclaimer,"-- AVERTISSEMENT --

The Long Dark est une simulation de survie post-catastrophe. Nous améliorons constamment le jeu, ce qui introduit parfois des bugs. Nous équilibrons également le jeu, ce qui signifie que l'expérience peut varier d'une mise à jour à une autre. Cela fait partie du processus d'un jeu en Alpha. Nous vous remercions de votre patience pendant que nous continuons à faire le jeu et nous espérons que vous pourrez voir tout l'amour que nous avons mis en lui.

***

À la suite d'une catastrophe géomagnétique qui sert de fondation fictive au cadre du jeu, nous avons pris des libertés avec la représentation du comportement de la faune.

Hinterland Studio Inc. ne tolère pas la destruction aveugle de la faune. ",,,
GAMEPLAY_DiscoveredLocation,{loc-name} découvert(e).,,,
GAMEPLAY_Display,Écran,,,
GAMEPLAY_Distancetravelledduringday,Distance parcourue pendant le jour,,,
GAMEPLAY_Distancetravelledduringnight,Distance parcourue pendant la nuit,,,
GAMEPLAY_DogFood,Nourriture pour chien,,,
GAMEPLAY_DogFoodDescription,"Boîte de nourriture pour chien. Sent mauvais, mais manger est préférable que mourir de faim. Très probablement.",,,
GAMEPLAY_DogFoodTooltip,,,
GAMEPLAY_Door,Porte,,,
GAMEPLAY_DownSkiJacket,Doudoune de Ski,,,
GAMEPLAY_DownSkiJacketDescription,"Qualité supérieure. Très légère et chaude, mais pas protectrice du vent. Conçu pour porter chaud mais pas avec du vent.",,,
GAMEPLAY_DownSkiJacketTooltip,Vêtements,,,
GAMEPLAY_DownVest,Gilet en duvet,,,
GAMEPLAY_DownVestDescription,Couche supérieure en Duvet qui réchauffe le corps, mais laisse les bras exposés. très léger.,,,
GAMEPLAY_DownVestTooltip,Vêtements,,,
GAMEPLAY_DrankItem,{item-name} bu.,,,
GAMEPLAY_DrankWaterQuantityQuality,{quant-value} bu d'eau {qual-value}.,,,
GAMEPLAY_Drawer,Tiroir,,,
GAMEPLAY_Drink,Boire,,,
GAMEPLAY_DRINK,BOIRE,,,
GAMEPLAY_DrinkingProgress,Boit...,,,
GAMEPLAY_Drop,Lâcher,,,
GAMEPLAY_DropAll,Tout lâcher,,,
GAMEPLAY_DropDecoy,Poser leurre,,,
GAMEPLAY_DroppedItem,{item-name} lâché,,,
GAMEPLAY_Dryer,Séchoir,,,
GAMEPLAY_Dysentery,Dysenterie,,,
GAMEPLAY_DysenteryDescription,Vous avez bu de l'eau non potable et maintenant vous avez une maladie intestinale. Vous allez vous affaiblir et mourir de déshydratation, sauf si vous pouvez vous soigner.,,,
GAMEPLAY_DysenteryHasPassed,La dysenterie est passée,,,
GAMEPLAY_East,Est,,,
GAMEPLAY_Eat,Manger,,,
GAMEPLAY_EAT,MANGER,,,
GAMEPLAY_EatingProgress,Mange...,,,
GAMEPLAY_EmptyPostfix,(Vide),,
GAMEPLAY_Encumbered,Encombré,,,
GAMEPLAY_EnergyBar,Barre énergétique,,,
GAMEPLAY_EnergyBarDescription,"De l'énergie en barre. Chocolat, noisettes, un aliments sain.",,,
GAMEPLAY_EnergyBarTooltip,,,
GAMEPLAY_English,Français,Do not translate,English,English
GAMEPLAY_EnterFlyMode,Enter Fly Mode,,,
GAMEPLAY_EnterVehicle,Entrer dans Véhicule,,,
GAMEPLAY_Equip,Équiper,,,
GAMEPLAY_EQUIP,ÉQUIPER,,,
GAMEPLAY_EquipFirearm,Prendre armes à feu,,,
GAMEPLAY_EquipFlare,Prendre fusée,,,
GAMEPLAY_EquipLantern,Prendre lanterne,,,
GAMEPLAY_Equipment,Équipement,,,
GAMEPLAY_EquipmentAlt,Équipement ALT,,,
GAMEPLAY_EquippedPostfix,(équipé),,,
GAMEPLAY_Error,Erreur,,,
GAMEPLAY_ERROR,ERREUR,,,
GAMEPLAY_EstimatedCalories,Calories brûlées estimés,,,
GAMEPLAY_EstimatedCaloriesBurned,Calories brûlées estimés,,,
GAMEPLAY_EstimatedFireDuration,Durée du feu estimée,,,
GAMEPLAY_EstimatedTime,Durée estimée,,,
GAMEPLAY_EstimatedWearOnItem,Usure estimée de {item-name},,,
GAMEPLAY_Exhausted,Épuisé,,,
GAMEPLAY_ExitFlyMode,Exit Fly Mode,,,
GAMEPLAY_ExitVehicle,Sortir du Véhicule,,,
GAMEPLAY_Experience,Expérience,"Comme dans ""Choisissez votre expérience""",Erfahrung,Опыт
GAMEPLAY_ExperienceModeAlphaDisclaimer,NOTE: Toutes les valeurs peuvent être amené à changer.,,HINWEIS: Alle Einstellungswerte sind im Alpha-Stadium und können sich mit der Zeit ändern.,"ПРИМЕЧАНИЕ: все настройки пока в альфа-режиме, многие из них со временем могут измениться."
GAMEPLAY_ExperienceModeDescPilgrim,Vous vous promenez pour observer l'apocalypse tranquillement. Vous êtes ici pour philosopher sur la fin d'une ère. Vous imprégner de l'atmosphère et profiter., Ceci est le mode Pilgrim.,"Du gehst den langen Weg und beobachtest die stille Apokalypse. Du bist hier, um den Untergang einer Ära zu dokumentieren. Tauch in die Atmosphäre ein und genieße die Schönheit deines Erlebnisses.","Вы бредете по длинной дороге, наблюдая мир после конца цивилизации. Вы здесь, чтобы засвидетельствовать конец эпохи. Проникнитесь этой атмосферой, насладитесь эстетикой гибели мира."
GAMEPLAY_ExperienceModeDescPilgrimBullets,"•        Pour les joueurs qui sont plus intéressés par l'exploration que la survie.
•        La faune ne vous attaquera pas.","Ce texte décrit le mode d'expérience sélectionnée (dans ce cas, Pilgrim).","•        Für Spieler, denen ein nachdenkliches Erkundungsszenario mehr liegt als ein qualvoller Kampf ums Überleben.
•        Wilde Tiere greifen dich nicht an.","•        Для игроков, которым больше интересно исследование мира, чем суровое выживание.
•        Дикие звери не будут на вас нападать."
