d,English,German,Russian
GAMEPLAY_BackDoor,Back Door,,
GAMEPLAY_BackPack,Back Pack,,
GAMEPLAY_BackpackHeader,Backpack:,,
GAMEPLAY_BackToGame,Back To Game,,
GAMEPLAY_Backward,Backward,,
GAMEPLAY_Bandage,Bandage,,
GAMEPLAY_BandageDescription,Bandage suitable for stopping blood loss or binding to constrict movement on an injury.,,
GAMEPLAY_BandageTooltip,,,
GAMEPLAY_Basement,Basement,,
GAMEPLAY_BasicBoots,Basic Boots,,
GAMEPLAY_BasicBootsDescription,"Basic hiking boots. Leather upper, rubber sole.",,
GAMEPLAY_BasicBootsTooltip,Clothing,,
GAMEPLAY_BasicGloves,Basic Gloves,,
GAMEPLAY_BasicGlovesDescription,"Basic ski gloves, made of synthetic materials.",,
GAMEPLAY_BasicGlovesTooltip,Clothing,,
GAMEPLAY_BasicWinterCoat,Basic Winter Coat,,
GAMEPLAY_BasicWinterCoatDescription,Basic winter coat with some wind-blocking capability and basic synthetic filler. Good for an afternoon at the ski hill.,,
GAMEPLAY_BasicWinterCoatTooltip,Clothing,,
GAMEPLAY_BasicWoolHat,Basic Wool Hat,,
GAMEPLAY_BasicWoolHatDescription,Simple knitted wool hat.,,
GAMEPLAY_BasicWoolHatTooltip,Clothing,,
GAMEPLAY_BasicWoolScarf,Basic Wool Scarf,,
GAMEPLAY_BasicWoolScarfDescription,Simple knitted scarf.,,
GAMEPLAY_BasicWoolScarfTooltip,Clothing,,
GAMEPLAY_Basin,Basin,,
GAMEPLAY_BearCreekCampground,Bear Creek Campground,,
GAMEPLAY_Bed,Bed,,
GAMEPLAY_Bedroll,Bedroll,,
GAMEPLAY_BedrollDescription,A down-filled sleeping bag.,,
GAMEPLAY_BedrollTooltip,Enables Resting Away From Beds,,
GAMEPLAY_BeefJerky,Beef Jerky,,
GAMEPLAY_BeefJerkyDescription,Package of Beef Jerky. Tasty and pretty much lasts forever.,,
GAMEPLAY_BeefJerkyTooltip,,,
GAMEPLAY_Blizzard,Blizzard,,
GAMEPLAY_BloodLoss,Blood Loss,,
GAMEPLAY_BloodLossDescription,"You are bleeding from a wound. If left untreated, you will continue to weaken until you die.",,
GAMEPLAY_BoilingProgress,Boiling Water...,,
GAMEPLAY_BoltCutters,Bolt Cutters,,
GAMEPLAY_BoltCuttersDescription,Missing,,
GAMEPLAY_BoltCuttersTooltip,Missing,,
GAMEPLAY_BrokenBeyondRepair,{item-name} has been broken beyond repair.,,
GAMEPLAY_BuildAttackStrength,Build Attack Strength,,
GAMEPLAY_BurnedOutPostfix,(Burned Out),,
GAMEPLAY_BurnPerHour,Burn/Hour,,
GAMEPLAY_Burns,Burns,,
GAMEPLAY_BurnsDescription,"You have sustained serious burns. Your general Condition will be reduced until you treat the burns, or you heal naturally.",,
GAMEPLAY_BurnsHealed,Burns Healed,,
GAMEPLAY_ButtonAddToFire,Add To Fire,,
GAMEPLAY_ButtonBack,Back,,
GAMEPLAY_ButtonBeginCrafting,Begin Crafting,,
GAMEPLAY_ButtonBoil,Boil,,
GAMEPLAY_ButtonCook,Cook,,
GAMEPLAY_ButtonForageWood,"FORAGE
WOOD",,
GAMEPLAY_ButtonMelt,Melt,,
GAMEPLAY_ButtonSnowShelter,"SNOW
SHELTER",,
GAMEPLAY_Cabinet,Cabinet,,
GAMEPLAY_CabinetDoor,Cabinet Door,,
GAMEPLAY_Calories,Calories,,
GAMEPLAY_CaloriesPerHour,Calories / Hour,,
GAMEPLAY_Campfire,Campfire,,
GAMEPLAY_CampOffice,Camp Office,,
GAMEPLAY_Can,Can,,
GAMEPLAY_Cancel,Cancel,,
GAMEPLAY_CandyBar,Candy Bar,,
GAMEPLAY_CandyBarDescription,Chocolate and nuts!,,
GAMEPLAY_CandyBarTooltip,,,
GAMEPLAY_CannotAddMoreFuel,Cannot add any more fuel to this fire right now,,
GAMEPLAY_Cannotcraftitemwithselectedtool,Cannot craft item with selected tool,,
GAMEPLAY_Cannotrepairatoolwithitself,Cannot repair a tool with itself,,
GAMEPLAY_Cannotrepairitemwithselectedtool,Cannot repair item with selected tool,,
GAMEPLAY_Cannotstartafireonawoodsurface,Cannot start a fire on a wood surface,,
GAMEPLAY_Cannotstartafireonstraw,Cannot start a fire on straw,,
GAMEPLAY_Cannotstartcampfireindoors,Cannot start campfire indoors,,
GAMEPLAY_CanOpener,Can Opener,,
GAMEPLAY_CanOpenerDescription,An implement for opening cans.,,
GAMEPLAY_CanOpenerTooltip,Opens Cans,,
GAMEPLAY_Cans,Cans,,
GAMEPLAY_CanSmashedOpenPercentLost,"Can smashed open, {%-value}% was lost",,
GAMEPLAY_Capacity,Capacity,,
GAMEPLAY_CarcassTooFrozen,Carcass more than 50% frozen (cannot use bare hands),,
GAMEPLAY_CardboardMatches,Cardboard Matches,,
GAMEPLAY_CardboardMatchesDescription,Cardboard strike-anywhere matches.,,
GAMEPLAY_CardboardMatchesTooltip,Consumable firestarter,,
GAMEPLAY_CargoPants,Cargo Pants,,
GAMEPLAY_CargoPantsDescription,Tough cotton pants. More rugged than jeans.,,
GAMEPLAY_CargoPantsTooltip,Clothing,,
GAMEPLAY_CarterHydroDam,Carter Hydro Dam,,
GAMEPLAY_CedarFirewood,Cedar Firewood,,
GAMEPLAY_CedarFirewoodDescription,"Cedar burns with an aromatic glow, but doesn't burn for long.",,
GAMEPLAY_CedarFirewoodTooltip,Fuel & raw material,,
GAMEPLAY_ChanceOfSuccess,Chance of Success,,
GAMEPLAY_ChanceSuccess,Chance Success,,
GAMEPLAY_Chest,Chest,,
GAMEPLAY_ChooseYour,Choose Your,,
GAMEPLAY_Clear,Clear,,
GAMEPLAY_Clearcut,Clearcut,,
GAMEPLAY_ClockType,Clock Type,,
GAMEPLAY_Cloth,Cloth,,
GAMEPLAY_ClothDescription,"Cloth used for crafting and repair, as well as for creating bandages.",,
GAMEPLAY_ClothingWarmthBonus,Clothing Warmth Bonus,,
GAMEPLAY_ClothingWindchillBonus,Clothing Windchill Bonus,,
GAMEPLAY_ClothTooltip,Raw material,,
GAMEPLAY_Cloudy,Cloudy,,
GAMEPLAY_CoastalTownsite,Coastal Townsite,,
GAMEPLAY_Cold,Cold,,
GAMEPLAY_Colder,Colder,,
GAMEPLAY_CommutersLament,Commuter's Lament,,
GAMEPLAY_CompressionBandage,Compression Bandage,,
GAMEPLAY_CompressionBandageDescription,"A compression bandage, used to constrict movement on an injury.",,
GAMEPLAY_CompressionBandageTooltip,Treats Sprains,,
GAMEPLAY_CondensedMilk,Condensed Milk,,
GAMEPLAY_CondensedMilkDescription,"Sweetened, thickened milk in a can. Keeps forever.",,
GAMEPLAY_CondensedMilkTooltip,,,
GAMEPLAY_Conditiontoolowtoharvest,Condition too low to harvest,,
GAMEPLAY_Confirm,Confirm,,
GAMEPLAY_ConsoleLOCKED,Console LOCKED,,
GAMEPLAY_ConsoleUNLOCKED,Console UNLOCKED,,
GAMEPLAY_ConsoleUseDetected,Console Use Detected,,
GAMEPLAY_Container,Container,,
GAMEPLAY_ContainerCannotBeOpened,{item-name} is ruined and cannot be opened,,
GAMEPLAY_ContainerCannotHoldWeight,Container cannot hold that much weight,,
GAMEPLAY_ContainerHeader,Container:,,
GAMEPLAY_ContractedDysenteryHUD,Contracted dysentery,,
GAMEPLAY_ContractedDysenteryLog,Contracted dysentery.,,
GAMEPLAY_ContractedFoodPoisoningHUD,Contracted food poisoning,,
GAMEPLAY_ContractedFoodPoisoningLog,Contracted food poisoning.,,
GAMEPLAY_Controls,Controls,,
GAMEPLAY_CookingProgress,Cooking...,,
GAMEPLAY_Corpse,Corpse,,
GAMEPLAY_CottonLongUnderwear,Cotton Long Underwear,,
GAMEPLAY_CottonLongUnderwearDescription,Cotton Long-Johns to keep your legs warm.,,
GAMEPLAY_CottonLongUnderwearTooltip,Clothing,,
GAMEPLAY_CottonSocks,Cotton Socks,,
GAMEPLAY_CottonSocksDescription,"Thin cotton socks. Not very warm and useless when wet, but better than nothing.",,
GAMEPLAY_CottonSocksTooltip,Clothing,,
GAMEPLAY_Crafting,Crafting,,
GAMEPLAY_CraftingProgress,Crafting...,,
GAMEPLAY_CraftingSkill,Crafting Skill,,
GAMEPLAY_CraftingSkillIncreased,Crafting skill increased to {%-value},,
GAMEPLAY_Crouch,Crouch,,
GAMEPLAY_Cupboard,Cupboard,,
GAMEPLAY_CurrentCalories,Current Calories,,
GAMEPLAY_CurrentTime,Current Time,,
GAMEPLAY_DavesQuietClearing,Dave's Quiet Clearing,,
GAMEPLAY_Day,Day,,
GAMEPLAY_day,day,,
GAMEPLAY_DayNumberFraction,Day {curr-value}/{total-value},,
GAMEPLAY_days,days,,
GAMEPLAY_daysShortForm,d,,
GAMEPLAY_DeadfallArea,Deadfall Area,,
GAMEPLAY_DeathBloodLoss,You died from blood loss,,
GAMEPLAY_DeathBloodLossSleeping,You died from blood loss while sleeping,,
GAMEPLAY_DeathBurning,You burned to death,,
GAMEPLAY_DeathDehydrate,You died from dehydration,,
GAMEPLAY_DeathDehydrateExhausted,You died from dehydration and exhaustion,,
GAMEPLAY_DeathDehydrateExhaustedFreeze,"You died from dehydration, exhaustion, and exposure",,
GAMEPLAY_DeathDehydrateFreeze,You died from dehydration and exposure,,
GAMEPLAY_DeathDysentery,You died from dysentery,,
GAMEPLAY_DeathDysenterySleeping,You died from dysentery while sleeping,,
GAMEPLAY_DeathExhausted,You died from exhaustion,,
GAMEPLAY_DeathExhaustedFreeze,You died from exhaustion and exposure,,
GAMEPLAY_DeathFadedLongDark,You faded into The Long Dark...,,
GAMEPLAY_DeathFalling,You died from massive internal injuries after falling,,
GAMEPLAY_DeathFoodPoisoning,You died from food poisoning,,
GAMEPLAY_DeathFoodPoisoningSleeping,You died from food poisoning while sleeping,,
GAMEPLAY_DeathFreeze,You died from exposure,,
GAMEPLAY_DeathIceCracking,You drowned after falling through cracked ice,,
GAMEPLAY_DeathInfection,You died from infection,,
GAMEPLAY_DeathInfectionSleeping,You died from infection while sleeping,,
GAMEPLAY_DeathStarve,You died from starvation,,
GAMEPLAY_DeathStarveDehydrate,You died from starvation and dehydration,,
GAMEPLAY_DeathStarveDehydrateExhausted,"You died from starvation, dehydration, and exhaustion",,
GAMEPLAY_DeathStarveDehydrateExhaustedFreeze,"You died from starvation, dehydration, exhaustion, and exposure",,
GAMEPLAY_DeathStarveDehydrateFreeze,"You died from starvation, dehydration, and exposure",,
GAMEPLAY_DeathStarveExhausted,You died from starvation and exhaustion,,
GAMEPLAY_DeathStarveExhaustedFreeze,"You died from starvation, exhaustion, and exposure",,
GAMEPLAY_DeathStarveFreeze,You died from starvation and exposure,,
GAMEPLAY_DeathWolfAttack,You died from loss of blood and shock from a wolf attack,,
GAMEPLAY_Debug,Debug,,
GAMEPLAY_DebugScreenshot,Debug Screenshot,,
GAMEPLAY_Decrease,Decrease,,
GAMEPLAY_DeerCarcass,Deer Carcass,,
GAMEPLAY_DegradedHUDMessage,{item-name} degraded to {%-value}% condition,,
GAMEPLAY_DegreesCUnits,C,,
GAMEPLAY_DegreesFUnits,F,,
GAMEPLAY_Dehydrated,Dehydrated,,
GAMEPLAY_Derailment,Derailment,,
GAMEPLAY_Disabled,Disabled,,
GAMEPLAY_Disclaimer,"-- DISCLAIMER --

The Long Dark is a post-disaster survival simulation. Although we strive to provide an experience steeped in realism, the game is not a replacement for proper wilderness survival training.

***
As the result of the geomagnetic disaster which serves as part of the fictional foundation of the game, we have taken liberties with the portrayal of wildlife behaviour.

Hinterland Studio Inc. does not condone the wanton destruction of wildlife. ",,
GAMEPLAY_DiscoveredLocation,Discovered {loc-name}.,,
GAMEPLAY_Display,Display,,
GAMEPLAY_Distancetravelledduringday,Distance travelled during day,,
GAMEPLAY_Distancetravelledduringnight,Distance travelled during night,,
GAMEPLAY_DogFood,Dog Food,,
GAMEPLAY_DogFoodDescription,"Can of wet dog food. Smells bad, but eating it is better than starving. Probably.",,
GAMEPLAY_DogFoodTooltip,,,
GAMEPLAY_Door,Door,,
GAMEPLAY_DownSkiJacket,Down Ski Jacket,,
GAMEPLAY_DownSkiJacketDescription,"Top layer. Very light, warm, but not very wind-proof. SynthetDown-filled ski jacket. Designed to keep the core warm, but minimal windblocking capability.",,
GAMEPLAY_DownSkiJacketTooltip,Clothing,,
GAMEPLAY_DownVest,Down Vest,,
GAMEPLAY_DownVestDescription,Down-filled top-layer that warms the core but leaves the arms exposed. Very light.,,
GAMEPLAY_DownVestTooltip,Clothing,,
GAMEPLAY_DrankItem,Drank {item-name}.,,
GAMEPLAY_DrankWaterQuantityQuality,Drank {quant-value} {qual-value} water.,,
GAMEPLAY_Drawer,Drawer,,
GAMEPLAY_Drink,Drink,,
GAMEPLAY_DRINK,DRINK,,
GAMEPLAY_DrinkingProgress,Drinking...,,
GAMEPLAY_Drop,Drop,,
GAMEPLAY_DropAll,Drop All,,
GAMEPLAY_DropDecoy,Drop Decoy,,
GAMEPLAY_DroppedItem,{item-name} dropped,,
GAMEPLAY_Dryer,Dryer,,
GAMEPLAY_Dysentery,Dysentery,,
GAMEPLAY_DysenteryDescription,You drank non-potable water and are now suffering an intenstinal disease. You will weaken and die of dehydration unless you can treat it.,,
GAMEPLAY_DysenteryHasPassed,Dysentery Has Passed,,
GAMEPLAY_East,East,,
GAMEPLAY_Eat,Eat,,
GAMEPLAY_EAT,EAT,,
GAMEPLAY_EatingProgress,Eating...,,
GAMEPLAY_EmptyPostfix,(Empty),,
GAMEPLAY_Encumbered,Encumbered,,
GAMEPLAY_EnergyBar,Energy Bar,,
GAMEPLAY_EnergyBarDescription,"Energy in a bar. Chocolate, nuts, healthy stuff.",,
GAMEPLAY_EnergyBarTooltip,,,
GAMEPLAY_EnterFlyMode,Enter Fly Mode,,
GAMEPLAY_Equip,Equip,,
GAMEPLAY_EQUIP,EQUIP,,
GAMEPLAY_EquipFirearm,Equip Firearm,,
GAMEPLAY_EquipFlare,Equip Flare,,
GAMEPLAY_EquipLantern,Equip Lantern,,
GAMEPLAY_Equipment,Equipment,,
GAMEPLAY_EquipmentAlt,Equipment ALT,,
GAMEPLAY_EquippedPostfix,(Equipped),,
GAMEPLAY_Error,Error,,
GAMEPLAY_ERROR,ERROR,,
GAMEPLAY_EstimatedCalories,Estimated Calories Burned,,
GAMEPLAY_EstimatedCaloriesBurned,Estimated Calories Burned,,
GAMEPLAY_EstimatedFireDuration,Estimated Fire Duration,,
GAMEPLAY_EstimatedTime,Estimated Time,,
GAMEPLAY_EstimatedWearOnItem,Estimated Wear on {item-name},,
GAMEPLAY_Exhausted,Exhausted,,
GAMEPLAY_ExitFlyMode,Exit Fly Mode,,
GAMEPLAY_ExperiencingBloodLossHUD,Losing blood...,,
GAMEPLAY_ExperiencingBloodLossLog,Experiencing significant blood loss.,,
GAMEPLAY_Extinguishing,Extinguishing...,,
GAMEPLAY_Failed,Failed,,
GAMEPLAY_Failedattempttostartfire,Failed attempt to start fire.,,
GAMEPLAY_Fatigue,Fatigue,,
GAMEPLAY_Feelslike,Feels like,,
GAMEPLAY_FileCabinet,File Cabinet,,
GAMEPLAY_FilterAll,All,,
GAMEPLAY_FilterClothing,Clothing,,
GAMEPLAY_FilterFirstAid,First Aid,,
GAMEPLAY_FilterFoodAndDrink,Food And Drink,,
GAMEPLAY_FilterMaterial,Material,,
GAMEPLAY_FilterOther,Other,,
GAMEPLAY_FilterTool,Tool,,
GAMEPLAY_Fire,Fire,,
GAMEPLAY_FireAxe,Fire Axe,,
GAMEPLAY_FireAxeDescription,Missing,,
GAMEPLAY_FireAxeTooltip,,,
GAMEPLAY_FireBarrel,Fire Barrel,,
GAMEPLAY_Firelog,Firelog,,
GAMEPLAY_FirelogDescription,Firelog made of chemicals and compressed shavings. Doesn't throw off much heat.,,
GAMEPLAY_FirelogTooltip,Fuel,,
GAMEPLAY_FirePlace,Fire Place,,
GAMEPLAY_FirestarterHeader,Starter,,
GAMEPLAY_FireStartingBaseSkill,Fire Starting Base Skill,,
GAMEPLAY_FireStartingSkillIncreased,Fire Starting skill increased to {%-value},,
GAMEPLAY_Firestriker,Firestriker,,
GAMEPLAY_FirestrikerDescription,Metal tool designed to help start fires in the wilderness.,,
GAMEPLAY_FirestrikerTooltip,Multi-use firestarter,,
GAMEPLAY_FirFirewood,Fir Firewood,,
GAMEPLAY_FirFirewoodDescription,"While not technically a hardwood, Fir burns like one.",,
GAMEPLAY_FirFirewoodTooltip,Fuel & raw material,,
GAMEPLAY_FirstAid,First Aid,,
GAMEPLAY_FirstAidKit,First Aid Kit,,
GAMEPLAY_FirstAidnotneeded,First Aid not needed,,
GAMEPLAY_FirstAidRest,{needed-value} Hours Rest,,
GAMEPLAY_FirstAidRestRemaining,{needed-value} Hours Rest ({remaining-value} Left),,
GAMEPLAY_FirstAidWater,Drink {needed-value} Clean Water,,
GAMEPLAY_FirstAidWaterRemaining,Drink {needed-value} Clean Water ({remaining-value} Left),,
GAMEPLAY_FishingCamp,Fishing Camp,,
GAMEPLAY_Flare,Flare,,
GAMEPLAY_FlareDescription,A throwable flare. Loud enough to scare wildlife.,,
GAMEPLAY_FlareLighting,Lighting...,,
GAMEPLAY_FlareTooltip,Light source,,
GAMEPLAY_FleeceSweater,Fleece Sweater,,
GAMEPLAY_FleeceSweaterDescription,"Synthetic micro-fleece mid-layer. Light, but not particularly windproof.",,
GAMEPLAY_FleeceSweaterTooltip,Clothing,,
GAMEPLAY_FlintSteel,Flint & Steel,,
GAMEPLAY_FlintSteelDescription,Flint and steel striker to create hot sparks and ignite tinder.,,
GAMEPLAY_FlintSteelTooltip,Multi-use firestarter,,
GAMEPLAY_Foggy,Foggy,,
GAMEPLAY_Food,Food,,
GAMEPLAY_Fooditemhasnocalories,Food item has no calories,,
GAMEPLAY_FoodPoisoning,Food Poisoning,,
GAMEPLAY_FoodPoisoningDescription,"Something you ate has made you very sick. You will weaken until you treat it, it passes, or you die.",,
GAMEPLAY_FoodPoisoningHasPassed,Food Poisoning Has Passed,,
GAMEPLAY_Forage,Forage,,
GAMEPLAY_Forcing,Forcing...,,
GAMEPLAY_ForestryLookout,Forestry Lookout,,
GAMEPLAY_Forward,Forward,,
GAMEPLAY_FOV,FOV,,
GAMEPLAY_Freezer,Freezer,,
GAMEPLAY_Freezing,Freezing,,
GAMEPLAY_Fridge,Fridge,,
GAMEPLAY_FrontDoor,Front Door,,
GAMEPLAY_FrozenCorpse,Frozen Corpse,,
GAMEPLAY_FrozenCreek,Frozen Creek,,
GAMEPLAY_FrozenPercentPostfix,({%-value}% Frozen),,
GAMEPLAY_FrozenPostfix,(Frozen),,
GAMEPLAY_Fuel,Fuel,,
GAMEPLAY_FuelChest,Fuel Chest,,
GAMEPLAY_FuelRemainingPostfix,({%-value}% Fuel),,
GAMEPLAY_FullScreen,Full Screen,,
GAMEPLAY_galUnits,gal,,
GAMEPLAY_Gasoline,Gasoline,,
GAMEPLAY_GranolaBar,Granola Bar,,
GAMEPLAY_GranolaBarDescription,Dry and crunchy.,,
GAMEPLAY_GranolaBarTooltip,,,
GAMEPLAY_GrapeSoda,Stacy's Grape Soda,,
GAMEPLAY_GrapeSodaDescription,Sweet carbonated drink. Full of high-fructose corn syrup.,,
GAMEPLAY_GrapeSodaTooltip,,,
GAMEPLAY_Gut,Gut,,
GAMEPLAY_GutDescription,Gut used for crafting and repair.,,
GAMEPLAY_GutTooltip,Raw material,,
GAMEPLAY_Hardwood,Hardwood,,
GAMEPLAY_HareCarcass,Rabbit Carcass,,
GAMEPLAY_Harvest,Harvest,,
GAMEPLAY_HarvestAll,Harvest All,,
GAMEPLAY_HarvestCarcass,Harvest Carcass,,
GAMEPLAY_HarvestFrozenCarcass,Harvest Frozen Carcass,,
GAMEPLAY_HarvestGut,Harvest Gut,,
GAMEPLAY_HarvestHide,Harvest Hide,,
GAMEPLAY_HarvestingFraction,Harvesting ({curr-value}/{total-value})...,,
GAMEPLAY_HarvestingGut,Harvesting Gut...,,
GAMEPLAY_HarvestingHide,Harvesting Hide...,,
GAMEPLAY_HarvestingMeat,Harvesting Meat...,,
GAMEPLAY_HarvestingProgress,Harvesting...,,
GAMEPLAY_HarvestMeat,Harvest Meat,,
GAMEPLAY_Hatch,Hatch,,
GAMEPLAY_Hatchet,Hatchet,,
GAMEPLAY_HatchetDescription,A small one-handed axe. Good for splitting wood. Can be used to hack meat in a pinch.,,
GAMEPLAY_HatchetTooltip,Improves Foraging,,
GAMEPLAY_HeavySnow,Heavy Snow,,
GAMEPLAY_HeavyWoolSweater,Heavy Wool Sweater,,
GAMEPLAY_HeavyWoolSweaterDescription,"Thick wool sweater, cable-knit. Keeps the core warm, even when wet.",,
GAMEPLAY_HeavyWoolSweaterTooltip,Clothing,,
GAMEPLAY_Help,Help,,
GAMEPLAY_High,High,,
GAMEPLAY_HighResScreenshot,"High Resolution Screenshot
(HUD Disabled)
",,
GAMEPLAY_HoldToRun,Hold To Run,,
GAMEPLAY_Holster,Holster,,
GAMEPLAY_hour,hour,,
GAMEPLAY_hours,hours,,
GAMEPLAY_hoursShortForm,h,,
GAMEPLAY_HoursToRest,Hours To Rest,,
GAMEPLAY_HUD,HUD,,
GAMEPLAY_Hunger,Hunger,,
GAMEPLAY_Hungry,Hungry,,
GAMEPLAY_HuntingKnife,Hunting Knife,,
GAMEPLAY_HuntingKnifeDescription,Good quality knife with a stainless steel blade and wooden handle.,,
GAMEPLAY_HuntingKnifeTooltip,Good for Meat Harvesting & Defense,,
GAMEPLAY_HuntingRifle,Hunting Rifle,,
GAMEPLAY_HuntingRifleDescription,An old .303 calibre bolt-action hunting rifle. Will bring a deer down. Maybe a wolf.,,
GAMEPLAY_HuntingRifleTooltip,Weapon,,
GAMEPLAY_IceFishingHuts,Ice Fishing Huts,,
GAMEPLAY_Imperial,Imperial,,
GAMEPLAY_Increase,Increase,,
GAMEPLAY_Infection,Infection,,
GAMEPLAY_InfectionCleared,Infection Cleared,,
GAMEPLAY_InfectionDescription,You have an infection that could kill you if left untreated.,,
GAMEPLAY_InfectionRisk,Infection Risk,,
GAMEPLAY_InfectionRiskDescription,You sustained a wound that could result in infection if left untreated.,,
GAMEPLAY_InfectionRiskHUD,At risk for infected wound,,
GAMEPLAY_InfectionRiskLog,At risk for infected wound.,,
GAMEPLAY_InsufficentFireStarter,Insufficent materials to start a fire (need Fire Starter),,
GAMEPLAY_InsufficentFireStarterFuel,Insufficent materials to start a fire (need Fire Starter and Fuel),,
GAMEPLAY_InsufficentFireStarterTinder,Insufficent materials to start a fire (need Fire Starter and Tinder),,
GAMEPLAY_InsufficentFireStarterTinderFuel,"Insufficent materials to start a fire (need Fire Starter, Tinder and Fuel)",,
GAMEPLAY_InsufficentFuel,Insufficent materials to start a fire (need Fuel),,
GAMEPLAY_InsufficentTinder,Insufficent materials to start a fire (need Tinder),,
GAMEPLAY_InsufficentTinderFuel,Insufficent materials to start a fire (need Tinder and Fuel),,
GAMEPLAY_Insufficientmaterialsforcrafting,Insufficient materials for crafting,,
GAMEPLAY_Insufficientmaterialsforrepair,Insufficient materials for repair,,
GAMEPLAY_Insufficientmaterialstocreatefire,Insufficient materials to create fire,,
GAMEPLAY_InsulatedBoots,Insulated Boots,,
GAMEPLAY_InsulatedBootsDescription,Insulated boots. Waterproof outer. Felt liner. Designed for cold weather.,,
GAMEPLAY_InsulatedBootsTooltip,Clothing,,
GAMEPLAY_InsulatedVest,Insulated Vest,,
GAMEPLAY_InsulatedVestDescription,Synthetic top-layer that warms the core but leaves the arms exposed.,,
GAMEPLAY_InsulatedVestTooltip,Clothing,,
GAMEPLAY_InteractShoot,Interact / Shoot,,
GAMEPLAY_Invalidlocationtoplaceobject,Invalid location to place object,,
GAMEPLAY_Inventory,Inventory,,
GAMEPLAY_InvertX,Invert X,,
GAMEPLAY_InvertY,Invert Y,,
GAMEPLAY_ItemAddedToInventory,{item-name} added to inventory,,
GAMEPLAY_ItemCondition,Condition,,
GAMEPLAY_Itemisalreadyfullyrepaired,Item is already fully repaired,,
GAMEPLAY_ItemToCraft,Item To Craft:,,
GAMEPLAY_ItemToHarvest,Item To Harvest,,
GAMEPLAY_ItemToRepair,Item To Repair:,,
GAMEPLAY_Itstoowindytostartafirethere,It's too windy to start a fire there,,
GAMEPLAY_JackrabbitIsland,Jackrabbit Island,,
GAMEPLAY_Jeans,Jeans,,
GAMEPLAY_JeansDescription,Basic denim jeans. Not much good for anything out here.,,
GAMEPLAY_JeansTooltip,Clothing,,
GAMEPLAY_JerryCan,Jerry Can,,
GAMEPLAY_JerryCanDescription,"An old metal jerry can containing kerosene, fuel for oil lamps.",,
GAMEPLAY_JerryCanTooltip,Fuel,,
GAMEPLAY_Kerosene,Kerosene,,
GAMEPLAY_KeyBindings,Key Bindings,,
GAMEPLAY_kgUnits,kg,,
GAMEPLAY_kmhUnits,km/h,,
GAMEPLAY_kmUnits,km,,
GAMEPLAY_Ladder,Ladder,,
GAMEPLAY_LakeCabins,Lake Cabins,,
GAMEPLAY_LakeTrail,Lake Trail,,
GAMEPLAY_Lampalreadyfull,Lamp already full,,
GAMEPLAY_LanternFuel,Lantern Fuel,,
GAMEPLAY_LanternFuelDescription,Small bottle of kerosene.,,
GAMEPLAY_LanternFuelTooltip,Fuel,,
GAMEPLAY_LanternLighting,Lighting...,,
GAMEPLAY_lbsUnits,lbs,,
GAMEPLAY_Leather,Leather,,
GAMEPLAY_LeatherDescription,Leather used for crafting and repair.,,
GAMEPLAY_LeatherTooltip,Raw material,,
GAMEPLAY_Left,Left,,
